Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,72,0,0.0,0.0,0.0
2022-01-02,61,0,0.0,0.0,0.0
2022-01-03,63,0,4.0,43.9,0.0
2022-01-04,65,0,8.0,41.5,0.0
2022-01-05,59,0,4.0,67.3,0.0
2022-01-06,63,0,4.1,58.4,0.0
2022-01-07,53,0,4.0,70.1,0.0
2022-01-08,46,0,3.0,36.6,0.0
2022-01-09,63,0,3.0,64.8,0.0
2022-01-10,57,0,6.0,64.8,0.0
2022-01-11,57,0,5.0,54.4,0.0
2022-01-12,55,0,0.0,0.0,0.0
2022-01-13,53,0,0.0,0.0,0.0
2022-01-14,70,0,0.0,0.0,0.0
2022-01-15,76,0,0.0,0.0,0.0
2022-01-16,72,0,2.0,56.4,0.0
2022-01-17,68,0,2.0,68.5,0.0
2022-01-18,65,0,0.0,0.0,0.0
2022-01-19,57,0,0.0,0.0,0.0
2022-01-20,59,0,0.0,0.0,0.0
2022-01-21,50,0,5.0,55.4,0.0
2022-01-22,50,0,4.0,45.1,0.0
2022-01-23,50,0,4.0,58.1,0.0
2022-01-24,55,0,0.0,0.0,0.0
2022-01-25,70,0,3.0,38.4,0.0
2022-01-26,74,0,4.0,38.2,0.0
2022-01-27,72,0,7.0,24.4,0.0
2022-01-28,80,0,6.0,33.4,0.0
2022-01-29,61,0,1.0,22.4,0.0
2022-01-30,55,0,4.0,47.2,0.0
2022-01-31,65,0,2.0,20.7,0.0
2022-02-01,53,0,2.0,50.2,0.0
2022-02-02,50,0,5.0,33.5,0.0
2022-02-03,61,0,0.0,0.0,0.0
2022-02-04,55,0,4.0,0.0,0.0
2022-02-05,53,0,2.0,37.1,0.0
2022-02-06,53,0,3.0,29.2,0.0
2022-02-07,68,0,0.0,0.0,0.0
2022-02-08,65,0,3.0,66.1,0.0
2022-02-09,70,0,0.0,0.0,0.0
2022-02-10,76,0,4.0,29.4,0.0
2022-02-11,76,0,0.0,0.0,0.0
2022-02-12,80,0,0.0,0.0,0.0
2022-02-13,68,0,0.0,0.0,0.0
2022-02-14,68,0,0.0,0.0,0.0
2022-02-15,76,0,4.0,29.3,0.0
2022-02-16,80,0,0.0,0.0,0.0
2022-02-17,85,0,1.0,31.3,0.0
2022-02-18,85,0,3.0,29.4,0.0
2022-02-19,82,0,10.0,39.3,0.0
2022-02-20,76,0,8.0,49.3,0.0
2022-02-21,70,0,0.0,0.0,0.0
2022-02-22,72,0,5.0,33.4,0.0
2022-02-23,119,0,2.0,45.8,0.0
2022-02-24,87,0,0.0,0.0,0.0
2022-02-25,70,0,3.0,49.3,0.0
2022-02-26,63,0,0.0,0.0,0.0
2022-02-27,72,0,0.0,0.0,0.0
2022-02-28,70,0,0.0,0.0,0.0
2022-03-01,65,0,5.0,41.7,0.0
2022-03-02,68,0,4.0,39.8,0.0
2022-03-03,63,0,6.0,29.3,0.0
2022-03-04,63,0,4.0,34.0,0.0
2022-03-05,63,0,5.0,26.3,0.0
2022-03-06,59,0,4.0,33.2,0.0
2022-03-07,63,0,4.0,24.9,0.0
2022-03-08,61,0,5.0,17.3,0.0
2022-03-09,65,0,2.0,33.2,0.0
2022-03-10,55,0,4.0,29.5,0.0
2022-03-11,55,0,3.0,39.2,0.0
2022-03-12,61,0,0.0,0.0,0.0
2022-03-13,61,0,0.0,0.0,0.0
2022-03-14,68,0,4.0,27.4,0.0
2022-03-15,70,0,4.0,32.1,0.0
2022-03-16,68,0,4.0,49.4,0.0
2022-03-17,76,0,3.0,49.5,0.0
2022-03-18,76,0,3.0,52.4,0.0
2022-03-19,74,0,2.0,60.1,0.0
2022-03-20,82,0,2.0,73.2,0.0
2022-03-21,91,0,2.0,64.6,0.0
2022-03-22,89,0,2.0,67.5,0.1
2022-03-23,93,0,2.0,60.4,0.0
2022-03-24,82,0,3.0,68.7,0.1
2022-03-25,91,0,4.0,45.7,0.0
2022-03-26,76,0,3.0,30.5,0.0
2022-03-27,74,0,3.0,54.4,0.0
2022-03-28,72,0,4.0,59.3,0.0
2022-03-29,80,0,7.0,51.6,0.0
2022-03-30,97,0,8.0,33.8,0.0
2022-03-31,102,0,4.0,28.9,0.0
2022-04-01,91,0,7.0,47.7,0.0
2022-04-02,72,0,8.0,38.2,0.0
2022-04-03,65,0,6.0,44.2,0.0
2022-04-04,72,0,5.0,34.2,0.0
2022-04-05,65,0,5.1,39.0,0.0
2022-04-06,68,0,6.0,40.1,0.0
2022-04-07,76,0,7.0,47.1,0.0
2022-04-08,65,0,7.7,30.0,0.0
2022-04-09,72,0,5.1,40.0,0.0
2022-04-10,65,0,4.1,45.0,0.0
2022-04-11,76,0,3.3,63.0,0.0
2022-04-12,80,0,4.1,52.0,0.0
2022-04-13,63,0,2.5,52.0,0.0
2022-04-14,65,0,5.1,48.0,0.0
2022-04-15,65,0,3.0,77.0,0.0
2022-04-16,76,0,3.0,67.0,0.0
2022-04-17,74,0,2.0,62.0,0.0
2022-04-18,63,0,4.1,59.0,0.0
2022-04-19,65,0,4.1,51.0,0.0
2022-04-20,65,0,5.1,53.0,0.0
2022-04-21,70,0,2.5,63.0,0.0
2022-04-22,70,0,4.1,46.0,0.0
2022-04-23,104,0,3.0,49.0,0.0
2022-04-24,82,0,3.0,62.0,0.0
2022-04-25,59,0,3.0,77.0,0.0
2022-04-26,63,0,2.5,87.0,0.0
2022-04-27,59,0,2.0,68.0,0.0
2022-04-28,59,0,3.6,72.0,0.0
2022-04-29,57,0,2.0,82.0,0.0
2022-04-30,63,0,3.0,60.0,0.0
2022-05-01,80,0,3.0,63.0,0.0
2022-05-02,61,0,3.0,76.0,0.0
2022-05-03,61,0,2.0,65.0,0.0
2022-05-04,68,0,4.1,59.0,0.0
2022-05-05,65,0,4.1,49.0,0.0
2022-05-06,70,0,4.1,41.0,0.0
2022-05-07,76,0,6.1,37.0,0.0
2022-05-08,76,0,4.1,49.0,0.0
2022-05-09,85,0,4.6,46.0,0.0
2022-05-10,80,0,4.1,46.0,0.0
2022-05-11,87,0,4.1,55.0,0.0
2022-05-12,82,0,7.2,28.0,0.0
2022-05-13,99,0,4.1,43.0,0.0
2022-05-14,97,0,5.1,37.0,0.0
2022-05-15,87,0,5.1,23.0,0.0
2022-05-16,89,0,2.5,39.0,0.0
2022-05-17,109,0,3.0,38.0,0.0
2022-05-18,117,0,3.0,40.0,0.0
2022-05-19,129,0,4.1,33.0,0.0
2022-05-20,114,0,3.0,48.0,0.0
2022-05-21,147,0,3.0,32.0,0.0
2022-05-22,129,0,4.1,29.0,0.0
2022-05-23,147,0,3.0,32.0,0.0
2022-05-24,0,0,4.1,31.0,0.0
2022-05-25,0,0,3.0,39.0,0.0
2022-05-26,137,0,3.0,45.0,0.0
2022-05-27,132,0,2.0,52.0,0.0
2022-05-28,129,0,2.0,55.0,0.0
2022-05-29,149,0,3.0,48.0,0.0
2022-05-30,139,0,3.0,40.0,0.0
2022-05-31,132,0,2.0,48.0,0.0
2022-06-01,117,0,2.5,55.0,0.0
2022-06-02,112,0,2.0,64.0,0.0
2022-06-03,114,0,2.0,52.0,0.0
2022-06-04,107,0,3.0,62.0,0.0
2022-06-05,91,0,3.0,59.0,0.0
2022-06-06,122,0,2.0,82.0,0.0
2022-06-07,91,0,2.0,82.0,0.0
2022-06-08,85,0,3.0,87.0,0.0
2022-06-09,99,0,2.0,87.0,0.0
2022-06-10,124,0,2.5,72.0,0.0
2022-06-11,112,0,4.1,68.0,0.0
2022-06-12,87,0,2.5,68.0,0.0
2022-06-13,93,0,2.0,72.0,0.0
2022-06-14,112,0,2.0,76.0,0.0
2022-06-15,117,0,3.0,68.0,0.0
2022-06-16,112,0,2.5,82.0,0.0
2022-06-17,122,0,2.0,53.0,0.0
2022-06-18,97,0,1.5,68.0,0.0
2022-06-19,74,0,2.0,87.0,0.0
2022-06-20,87,0,5.1,64.0,0.0
2022-06-21,124,0,2.5,72.0,0.0
2022-06-22,80,0,3.0,82.0,0.0
2022-06-23,127,0,2.0,82.0,0.0
2022-06-24,89,0,3.0,87.0,0.0
2022-06-25,89,0,2.0,82.0,0.0
2022-06-26,99,0,2.0,82.0,0.0
2022-06-27,78,0,1.5,87.0,0.0
2022-06-28,95,0,3.0,77.0,0.0
2022-06-29,95,0,2.5,82.0,0.0
2022-06-30,82,0,2.5,82.0,0.0
2022-07-01,99,0,3.0,88.0,0.0
2022-07-02,139,0,1.0,87.0,0.0
2022-07-03,93,0,3.0,87.0,0.0
2022-07-04,72,0,4.1,82.0,0.0
2022-07-05,114,0,3.6,87.0,0.0
2022-07-06,107,0,2.0,87.0,0.0
2022-07-07,74,0,3.6,87.0,0.0
2022-07-08,95,0,3.0,82.0,0.0
2022-07-09,82,0,3.0,87.0,0.0
2022-07-10,70,0,2.0,87.0,0.0
2022-07-11,70,0,3.0,93.0,0.0
2022-07-12,91,0,1.5,87.0,0.0
2022-07-13,82,0,2.0,82.0,0.0
2022-07-14,65,0,3.0,87.0,0.0
2022-07-15,82,0,2.0,87.0,0.0
2022-07-16,124,0,2.0,88.0,0.0
2022-07-17,99,0,1.0,87.0,0.0
2022-07-18,99,0,3.6,87.0,0.0
2022-07-19,104,0,2.0,87.0,0.0
2022-07-20,104,0,2.5,87.0,0.0
2022-07-21,93,0,2.0,87.0,0.0
2022-07-22,91,0,4.1,87.0,0.0
2022-07-23,112,0,3.0,77.0,0.0
2022-07-24,63,0,4.1,82.0,0.0
2022-07-25,85,0,3.0,73.0,0.0
2022-07-26,97,0,2.0,77.0,0.0
2022-07-27,89,0,3.0,82.0,0.0
2022-07-28,97,0,3.0,77.0,0.0
2022-07-29,117,0,2.0,82.0,0.0
2022-07-30,114,0,2.5,87.0,0.0
2022-07-31,85,0,2.0,87.0,0.0
2022-08-01,78,0,3.0,82.0,0.0
2022-08-02,68,0,3.0,82.0,0.0
2022-08-03,68,0,3.0,87.0,0.0
2022-08-04,74,0,2.0,82.0,0.0
2022-08-05,74,0,2.0,82.0,0.0
2022-08-06,74,0,3.0,72.0,0.0
2022-08-07,61,0,3.0,77.0,0.0
2022-08-08,42,0,4.1,77.0,0.0
2022-08-09,68,0,3.0,77.0,0.0
2022-08-10,74,0,3.0,82.0,0.0
2022-08-11,72,0,3.0,87.0,0.0
2022-08-12,70,0,3.0,82.0,0.0
2022-08-13,114,0,2.0,82.0,0.0
2022-08-14,65,0,2.5,82.0,0.0
2022-08-15,72,0,3.6,77.0,0.0
2022-08-16,74,0,3.0,87.0,0.0
2022-08-17,87,0,3.0,82.0,0.0
2022-08-18,112,0,2.0,87.0,0.0
2022-08-19,114,0,3.0,82.0,0.0
2022-08-20,89,0,3.0,72.0,0.0
2022-08-21,65,0,3.0,68.0,0.0
2022-08-22,80,0,2.0,72.0,0.0
2022-08-23,102,0,2.0,82.0,0.0
2022-08-24,85,0,2.0,82.0,0.0
2022-08-25,78,0,2.0,82.0,0.0
2022-08-26,85,0,3.0,77.0,0.0
2022-08-27,97,0,3.0,76.0,0.0
2022-08-28,82,0,2.0,77.0,0.0
2022-08-29,85,0,2.5,82.0,0.0
2022-08-30,93,0,3.0,82.0,0.0
2022-08-31,114,0,2.0,82.0,0.0
2022-09-01,104,0,2.0,82.0,0.0
2022-09-02,114,0,3.0,72.0,0.0
2022-09-03,93,0,4.1,77.0,0.0
2022-09-04,68,0,3.0,77.0,0.0
2022-09-05,97,0,2.0,76.0,0.0
2022-09-06,112,0,2.0,82.0,0.0
2022-09-07,109,0,2.0,82.0,0.0
2022-09-08,147,0,2.0,82.0,0.0
2022-09-09,134,0,2.0,82.0,0.0
2022-09-10,129,0,3.0,72.0,0.0
2022-09-11,82,0,1.2,72.0,0.0
2022-09-12,102,0,2.0,77.0,0.0
2022-09-13,78,0,4.1,82.0,0.0
2022-09-14,99,0,2.0,82.0,0.0
2022-09-15,99,0,1.5,82.0,0.0
2022-09-16,80,0,2.5,72.0,0.0
2022-09-17,124,0,2.0,82.0,0.0
2022-09-18,80,0,3.0,76.0,0.0
2022-09-19,82,0,2.5,76.0,0.0
2022-09-20,74,0,2.0,72.0,0.0
2022-09-21,72,0,3.0,72.0,0.0
2022-09-22,78,0,3.0,72.0,0.0
2022-09-23,85,0,2.0,77.0,0.0
2022-09-24,72,0,2.5,68.0,0.0
2022-09-25,74,0,3.0,68.0,0.0
2022-09-26,70,0,2.5,72.0,0.0
2022-09-27,59,0,2.5,72.0,0.0
2022-09-28,65,0,3.0,67.0,0.0
2022-09-29,93,0,2.0,72.0,0.0
2022-09-30,91,0,2.0,82.0,0.0
2022-10-01,89,0,2.0,72.0,0.0
2022-10-02,82,0,3.0,76.0,0.0
2022-10-03,72,0,2.0,82.0,0.0
2022-10-04,85,0,2.0,82.0,0.0
2022-10-05,63,0,3.0,76.0,0.0
2022-10-06,70,0,3.0,59.0,0.0
2022-10-07,70,0,3.0,63.0,0.0
2022-10-08,85,0,2.0,63.0,0.0
2022-10-09,65,0,2.5,71.0,0.0
2022-10-10,70,0,3.6,63.0,0.0
2022-10-11,78,0,3.0,67.0,0.0
2022-10-12,82,0,2.0,67.0,0.0
2022-10-13,76,0,2.5,72.0,0.0
2022-10-14,65,0,4.1,63.0,0.0
2022-10-15,78,0,2.5,55.0,0.0
2022-10-16,65,0,4.1,45.0,0.0
2022-10-17,61,0,3.0,54.0,0.0
2022-10-18,63,0,3.0,52.0,0.0
2022-10-19,61,0,3.0,46.0,0.0
2022-10-20,59,0,3.0,44.0,0.0
2022-10-21,61,0,5.1,44.0,0.0
2022-10-22,65,0,3.6,50.0,0.0
2022-10-23,57,0,4.1,44.0,0.0
2022-10-24,59,0,6.1,48.0,0.0
2022-10-25,55,0,5.1,48.0,0.0
2022-10-26,63,0,3.0,59.0,0.0
2022-10-27,59,0,3.0,48.0,0.0
2022-10-28,61,0,5.1,42.0,0.0
2022-10-29,61,0,4.1,47.0,0.0
2022-10-30,61,0,4.1,38.0,0.0
2022-10-31,65,0,4.1,31.0,0.0
2022-11-01,65,0,4.1,41.0,0.0
2022-11-02,68,0,3.0,44.0,0.0
2022-11-03,61,0,3.6,48.0,0.0
2022-11-04,61,0,4.1,55.0,0.0
2022-11-05,61,0,3.6,40.0,0.0
2022-11-06,50,0,4.1,38.0,0.0
2022-11-07,53,0,4.1,44.0,0.0
2022-11-08,57,0,4.1,50.0,0.0
2022-11-09,57,0,3.0,52.0,0.0
2022-11-10,63,0,4.1,77.0,0.0
2022-11-11,55,0,3.6,67.0,0.0
2022-11-12,53,0,4.1,76.0,0.0
2022-11-13,53,0,5.6,59.0,0.0
2022-11-14,61,0,3.6,52.0,0.0
2022-11-15,57,0,3.6,44.0,0.0
2022-11-16,59,0,3.0,54.0,0.0
2022-11-17,57,0,4.1,41.0,0.0
2022-11-18,63,0,3.0,45.0,0.0
2022-11-19,65,0,1.5,66.0,0.0
2022-11-20,57,0,5.1,38.0,0.0
2022-11-21,61,0,5.1,51.0,0.0
2022-11-22,61,0,5.1,55.0,0.0
2022-11-23,70,0,4.1,51.0,0.0
2022-11-24,70,0,2.0,51.0,0.0
2022-11-25,68,0,4.1,55.0,0.0
2022-11-26,65,0,6.1,62.0,0.0
2022-11-27,57,0,3.0,54.0,0.0
2022-11-28,59,0,5.1,45.0,0.0
2022-11-29,68,0,6.1,41.0,0.0
2022-11-30,59,0,5.1,44.0,0.0
2022-12-01,61,0,4.1,36.0,0.0
2022-12-02,68,0,4.1,46.0,0.0
2022-12-03,57,0,4.1,48.0,0.0
2022-12-04,50,0,4.6,47.0,0.0
2022-12-05,55,0,4.1,54.0,0.0
2022-12-06,61,0,3.0,45.0,0.0
2022-12-07,61,0,5.1,37.0,0.0
2022-12-08,61,0,4.6,42.0,0.0
2022-12-09,59,0,3.6,45.0,0.0
2022-12-10,57,0,4.1,47.0,0.0
2022-12-11,57,0,3.6,54.0,0.0
2022-12-12,57,0,4.1,45.0,0.0
2022-12-13,70,0,4.1,51.0,0.0
2022-12-14,70,0,2.5,51.0,0.0
2022-12-15,68,0,3.0,58.0,0.0
2022-12-16,72,0,3.0,62.0,0.0
2022-12-17,70,0,4.1,62.0,0.0
2022-12-18,61,0,4.6,54.0,0.0
2022-12-19,72,0,2.0,48.0,0.0
2022-12-20,72,0,3.0,58.0,0.0
2022-12-21,74,0,3.6,51.0,0.0
2022-12-22,74,0,3.0,58.0,0.0
2022-12-23,57,0,0.0,0.0,0.0
