Date,pm25,pm10,wind-speed,humidity,precipitation,soiling_accumulation,cum_soiling_accumulation,soilingrate
2022-01-01,14,0,1.6,97.0,0,0.0,0.0,0.0
2022-01-02,4,0,2.0,97.0,0,0.0,0.0,0.0
2022-01-03,13,0,5.2,84.0,0,0.0,0.0,0.0
2022-01-04,14,0,7.2,81.4,0,0.0,0.0,0.0
2022-01-05,19,0,7.5,86.6,0,0.0,0.0,0.0
2022-01-06,25,0,7.5,93.6,0,0.0,0.0,0.0
2022-01-07,29,0,6.5,94.7,0,0.0,0.0,0.0
2022-01-08,12,0,9.2,86.2,0,0.0,0.0,0.0
2022-01-09,22,0,8.2,91.6,0,0.0,0.0,0.0
2022-01-10,13,0,6.5,68.7,0,0.00719,0.00719,0.0010071378675237724
2022-01-11,26,0,4.2,73.2,0,0.009292,0.016482,0.002034005052496876
2022-01-12,23,0,7.7,83.2,0,0.0,0.0,0.0
2022-01-13,38,0,1.2,94.0,0,0.0,0.0,0.0
2022-01-14,27,0,2.7,97.0,0,0.0,0.0,0.0
2022-01-15,15,0,15.0,85.5,0,0.0,0.0,0.0
2022-01-16,14,0,6.5,80.2,0,0.0,0.0,0.0
2022-01-17,25,0,13.5,89.0,0,0.0,0.0,0.0
2022-01-18,40,0,10.2,88.7,0,0.0,0.0,0.0
2022-01-19,22,0,8.8,71.0,0,0.016473,0.016473,0.0020330639607074653
2022-01-20,41,0,7.2,90.8,0,0.0,0.0,0.0
2022-01-21,19,0,7.3,83.0,0,0.0,0.0,0.0
2022-01-22,18,0,4.2,85.0,0,0.0,0.0,0.0
2022-01-23,20,0,5.8,82.5,0,0.0,0.0,0.0
2022-01-24,27,0,4.5,85.0,0,0.0,0.0,0.0
2022-01-25,35,0,7.6,92.0,0,0.0,0.0,0.0
2022-01-26,25,0,7.0,78.0,0,0.0,0.0,0.0
2022-01-27,23,0,3.7,77.0,0,0.0,0.0,0.0
2022-01-28,21,0,3.7,86.0,0,0.0,0.0,0.0
2022-01-29,16,0,7.0,96.0,0,0.0,0.0,0.0
2022-01-30,15,0,7.6,78.7,0,0.0,0.0,0.0
2022-01-31,15,0,2.0,76.8,0,0.0,0.0,0.0
2022-02-01,23,0,2.3,77.2,0,0.0,0.0,0.0
2022-02-02,33,0,3.2,86.5,0,0.0,0.0,0.0
2022-02-03,22,0,4.3,97.0,0,0.0,0.0,0.0
2022-02-04,6,0,3.2,97.0,0,0.0,0.0,0.0
2022-02-05,13,0,6.0,93.2,0,0.0,0.0,0.0
2022-02-06,13,0,4.7,82.8,0,0.0,0.0,0.0
2022-02-07,23,0,1.8,90.0,0,0.0,0.0,0.0
2022-02-08,13,0,7.0,97.0,0,0.0,0.0,0.0
2022-02-09,7,0,5.5,88.5,0,0.0,0.0,0.0
2022-02-10,28,0,3.5,89.5,0,0.0,0.0,0.0
2022-02-11,29,0,3.5,90.2,0,0.0,0.0,0.0
2022-02-12,32,0,3.8,91.0,0,0.0,0.0,0.0
2022-02-13,19,0,3.0,81.0,0,0.0,0.0,0.0
2022-02-14,14,0,6.5,90.5,0,0.0,0.0,0.0
2022-02-15,14,0,6.0,78.0,0,0.0,0.0,0.0
2022-02-16,17,0,3.0,78.2,0,0.0,0.0,0.0
2022-02-17,43,0,10.6,89.2,0,0.0,0.0,0.0
2022-02-18,18,0,11.5,95.2,0,0.0,0.0,0.0
2022-02-19,13,0,4.7,78.2,0,0.0,0.0,0.0
2022-02-20,18,0,7.6,78.0,0,0.0,0.0,0.0
2022-02-21,45,0,5.0,82.2,0,0.0,0.0,0.0
2022-02-22,25,0,5.0,87.2,0,0.0,0.0,0.0
2022-02-23,20,0,6.2,98.0,0,0.0,0.0,0.0
2022-02-24,19,0,9.3,65.3,0,0.015035,0.015035,0.0018816543261271673
2022-02-25,16,0,3.5,83.7,0,0.0,0.0,0.0
2022-02-26,16,0,4.2,79.0,0,0.0,0.0,0.0
2022-02-27,20,0,2.7,86.0,0,0.0,0.0,0.0
2022-02-28,22,0,9.6,67.4,0,0.01797,0.01797,0.002188555116800499
2022-03-01,27,0,2.2,69.0,0,0.005054,0.023024,0.0026999285327614963
2022-03-02,23,0,5.5,82.6,0,0.0,0.0,0.0
2022-03-03,22,0,4.2,92.0,0,0.0,0.0,0.0
2022-03-04,18,0,5.5,79.7,0,0.0,0.0,0.0
2022-03-05,23,0,2.5,72.6,0,0.004893,0.004893,0.0007268755900523284
2022-03-06,26,0,2.7,94.0,0,0.0,0.0,0.0
2022-03-07,39,0,2.6,94.7,0,0.0,0.0,0.0
2022-03-08,15,0,11.4,68.2,0,0.01455,0.01455,0.0018300969760975028
2022-03-09,18,0,4.0,69.2,0,0.006126,0.020676,0.0024647475919830557
2022-03-10,17,0,2.2,92.1,0,0.0,0.0,0.0
2022-03-11,30,0,3.0,89.7,0,0.0,0.0,0.0
2022-03-12,15,0,6.0,97.2,0,0.0,0.0,0.0
2022-03-13,13,0,11.3,65.0,0,0.012499,0.012499,0.0016090273846794865
2022-03-14,20,0,3.5,64.5,0,0.005956,0.018455,0.0022385001303889844
2022-03-15,30,0,2.3,84.0,0,0.0,0.0,0.0
2022-03-16,22,0,3.5,90.2,0,0.0,0.0,0.0
2022-03-17,24,0,3.2,92.0,0,0.0,0.0,0.0
2022-03-18,38,0,1.7,89.7,0,0.0,0.0,0.0
2022-03-19,22,0,4.2,73.0,0,0.007862,0.007862,0.0010863443783763191
2022-03-20,14,0,3.5,95.2,0,0.0,0.0,0.0
2022-03-21,14,0,4.5,87.7,0,0.0,0.0,0.0
2022-03-22,14,0,8.7,61.0,0,0.010364,0.010364,0.0013728973551240325
2022-03-23,14,0,8.2,70.0,0,0.009768,0.020132,0.002409690762064017
2022-03-24,16,0,4.0,75.5,0,0.0,0.0,0.0
2022-03-25,15,0,7.1,97.0,0,0.0,0.0,0.0
2022-03-26,24,0,2.5,96.0,0,0.0,0.0,0.0
2022-03-27,24,0,3.7,91.7,0,0.0,0.0,0.0
2022-03-28,27,0,3.7,90.2,0,0.0,0.0,0.0
2022-03-29,17,0,6.1,79.5,0,0.0,0.0,0.0
2022-03-30,17,0,6.6,68.8,0,0.009547,0.009547,0.0012806285446449114
2022-03-31,15,0,3.5,79.8,0,0.0,0.0,0.0
2022-04-01,19,0,5.5,98.0,0,0.0,0.0,0.0
2022-04-02,11,0,8.2,80.6,0,0.0,0.0,0.0
2022-04-03,13,0,3.2,69.2,0,0.00354,0.00354,0.000552527225992903
2022-04-04,23,0,8.5,93.5,0,0.0,0.0,0.0
2022-04-05,13,0,5.3,57.2,0,0.005863,0.005863,0.000847248499324682
2022-04-06,16,0,2.0,51.0,0,0.002723,0.008586,0.0011705317824429178
2022-04-07,12,0,2.8,68.5,0,0.002859,0.011445,0.0014932981647031844
2022-04-08,22,0,10.2,92.1,0,0.0,0.0,0.0
2022-04-09,13,0,1.7,96.5,0,0.0,0.0,0.0
2022-04-10,14,0,2.0,96.0,0,0.0,0.0,0.0
2022-04-11,8,0,7.5,74.8,0,0.005105,0.005105,0.0007534731179042877
2022-04-12,18,0,3.2,87.6,0,0.0,0.0,0.0
2022-04-13,16,0,4.0,64.8,0,0.005446,0.005446,0.0007959054617280046
2022-04-14,20,0,3.3,82.5,0,0.0,0.0,0.0
2022-04-15,14,0,6.8,97.0,0,0.0,0.0,0.0
2022-04-16,25,0,4.8,72.1,0,0.01021,0.01021,0.0013555928059556968
2022-04-17,13,0,5.6,86.0,0,0.0,0.0,0.0
2022-04-18,13,0,4.3,69.5,0,0.004756,0.004756,0.0007095941791130191
2022-04-19,33,0,13.0,91.5,0,0.0,0.0,0.0
2022-04-20,24,0,6.0,73.6,0,0.012253,0.012253,0.0015821545969592157
2022-04-21,15,0,4.5,66.7,0,0.005743,0.017995999999999998,0.002191237759153953
2022-04-22,24,0,3.8,91.7,0,0.0,0.0,0.0
2022-04-23,13,0,6.5,67.5,0,0.00719,0.00719,0.0010071378675237724
2022-04-24,14,0,12.0,70.2,0,0.014295,0.021485,0.002546217868412851
2022-04-25,17,0,5.7,81.2,0,0.0,0.0,0.0
2022-04-26,30,0,5.0,81.8,0,0.0,0.0,0.0
2022-04-27,34,0,4.5,93.7,0,0.0,0.0,0.0
2022-04-28,15,0,4.3,95.8,0,0.0,0.0,0.0
2022-04-29,9,0,2.7,95.0,0,0.0,0.0,0.0
2022-04-30,8,0,7.5,89.4,0,0.0,0.0,0.0
2022-05-01,5,0,8.2,82.0,0,0.0,0.0,0.0
2022-05-02,14,0,6.5,61.7,0,0.007743,0.007743,0.001072396088651719
2022-05-03,15,0,3.2,74.0,0,0.004084,0.011827,0.0015354224616984757
2022-05-04,17,0,3.0,83.7,0,0.0,0.0,0.0
2022-05-05,14,0,2.0,92.2,0,0.0,0.0,0.0
2022-05-06,14,0,4.0,67.7,0,0.004765,0.004765,0.0007107317651072673
2022-05-07,13,0,3.0,67.5,0,0.003318,0.008083,0.0011121633218619848
2022-05-08,17,0,3.2,65.0,0,0.004629,0.012712000000000001,0.0016322300632891564
2022-05-09,17,0,4.5,49.5,0,0.006509,0.019221000000000002,0.002316977052397633
2022-05-10,18,0,6.2,47.0,0,0.009496,0.028717,0.003255776187909775
2022-05-11,16,0,3.7,93.0,0,0.0,0.0,0.0
2022-05-12,18,0,2.2,72.5,0,0.003369,0.003369,0.0005298279309184023
2022-05-13,18,0,3.2,84.8,0,0.0,0.0,0.0
2022-05-14,20,0,4.7,74.0,0,0.007998,0.007998,0.0011022458782824983
2022-05-15,21,0,5.2,90.3,0,0.0,0.0,0.0
2022-05-16,12,0,4.7,97.2,0,0.0,0.0,0.0
2022-05-17,15,0,3.5,97.7,0,0.0,0.0,0.0
2022-05-18,14,0,4.7,70.2,0,0.005599,0.005599,0.0008148109804105218
2022-05-19,18,0,2.6,59.0,0,0.003982,0.009581,0.0012844917808705594
2022-05-20,22,0,3.3,78.0,0,0.0,0.0,0.0
2022-05-21,21,0,5.2,79.6,0,0.0,0.0,0.0
2022-05-22,19,0,3.3,96.0,0,0.0,0.0,0.0
2022-05-23,18,0,4.0,97.2,0,0.0,0.0,0.0
2022-05-24,15,0,6.0,73.5,0,0.007658,0.007658,0.0010624129913672654
2022-05-25,15,0,2.6,63.2,0,0.003318,0.010976,0.0014412847716770622
2022-05-26,18,0,3.0,60.5,0,0.004595,0.015571,0.001938338718912495
2022-05-27,30,0,4.6,93.4,0,0.0,0.0,0.0
2022-05-28,13,0,4.0,98.0,0,0.0,0.0,0.0
2022-05-29,17,0,3.3,55.5,0,0.004773,0.004773,0.000711742677224951
2022-05-30,25,0,3.0,61.8,0,0.006382,0.011155,0.0014611756574869422
2022-05-31,10,0,6.2,64.7,0,0.005275,0.01643,0.0020285665483614048
2022-06-01,9,0,5.0,66.0,0,0.003829,0.020259,0.0024225642233329514
2022-06-02,13,0,3.8,62.7,0,0.004203,0.024461999999999998,0.002842136795197607
2022-06-03,13,0,2.5,76.7,0,0.0,0.0,0.0
2022-06-04,19,0,1.5,82.0,0,0.0,0.0,0.0
2022-06-05,18,0,3.1,90.7,0,0.0,0.0,0.0
2022-06-06,15,0,2.5,84.5,0,0.0,0.0,0.0
2022-06-07,19,0,1.5,75.5,0,0.0,0.0,0.0
2022-06-08,20,0,3.7,91.2,0,0.0,0.0,0.0
2022-06-09,15,0,4.0,98.0,0,0.0,0.0,0.0
2022-06-10,18,0,4.0,77.5,0,0.0,0.0,0.0
2022-06-11,25,0,1.8,75.5,0,0.0,0.0,0.0
2022-06-12,26,0,1.5,70.5,0,0.003318,0.003318,0.0005230242287597657
2022-06-13,28,0,2.1,91.3,0,0.0,0.0,0.0
2022-06-14,13,0,2.7,97.0,0,0.0,0.0,0.0
2022-06-15,20,0,6.0,83.5,0,0.0,0.0,0.0
2022-06-16,25,0,1.8,63.6,0,0.003829,0.003829,0.0005905156448653146
2022-06-17,20,0,5.5,85.6,0,0.0,0.0,0.0
2022-06-18,21,0,3.3,93.0,0,0.0,0.0,0.0
2022-06-19,17,0,3.5,87.3,0,0.0,0.0,0.0
2022-06-20,10,0,2.0,89.5,0,0.0,0.0,0.0
2022-06-21,10,0,2.0,87.5,0,0.0,0.0,0.0
2022-06-22,12,0,3.5,89.5,0,0.0,0.0,0.0
2022-06-23,9,0,2.5,90.4,0,0.0,0.0,0.0
2022-06-24,16,0,4.3,98.0,0,0.0,0.0,0.0
2022-06-25,17,0,2.1,95.0,0,0.0,0.0,0.0
2022-06-26,21,0,3.0,91.1,0,0.0,0.0,0.0
2022-06-27,20,0,4.5,95.0,0,0.0,0.0,0.0
2022-06-28,19,0,3.2,95.2,0,0.0,0.0,0.0
2022-06-29,25,0,2.1,82.3,0,0.0,0.0,0.0
2022-06-30,24,0,1.5,75.8,0,0.0,0.0,0.0
2022-07-01,29,0,3.0,75.7,0,0.0,0.0,0.0
2022-07-02,25,0,2.6,95.5,0,0.0,0.0,0.0
2022-07-03,25,0,2.0,90.5,0,0.0,0.0,0.0
2022-07-04,15,0,2.2,60.7,0,0.002808,0.002808,0.0004540567958811041
2022-07-05,20,0,2.0,65.2,0,0.003403,0.006211,0.0008896691160494822
2022-07-06,20,0,3.5,96.0,0,0.0,0.0,0.0
2022-07-07,19,0,3.0,72.8,0,0.00485,0.00485,0.0007214595506728757
2022-07-08,22,0,2.5,68.8,0,0.00468,0.00953,0.0012786961389284202
2022-07-09,18,0,2.0,66.5,0,0.003063,0.012593,0.0016192744492195045
2022-07-10,13,0,2.0,64.7,0,0.002212,0.014805,0.0018572366279361663
2022-07-11,17,0,3.2,66.5,0,0.004629,0.019434,0.0023387133732277175
2022-07-12,16,0,5.5,78.4,0,0.0,0.0,0.0
2022-07-13,28,0,3.7,85.6,0,0.0,0.0,0.0
2022-07-14,30,0,2.7,93.5,0,0.0,0.0,0.0
2022-07-15,20,0,1.7,88.1,0,0.0,0.0,0.0
2022-07-16,30,0,1.5,71.2,0,0.003829,0.003829,0.0005905156448653146
2022-07-17,23,0,2.7,74.5,0,0.005284,0.009113,0.0012311277854071682
2022-07-18,27,0,2.8,85.0,0,0.0,0.0,0.0
2022-07-19,12,0,2.6,98.0,0,0.0,0.0,0.0
2022-07-20,28,0,2.2,65.3,0,0.005241,0.005241,0.0007704466285189585
2022-07-21,48,0,3.0,87.2,0,0.0,0.0,0.0
2022-07-22,29,0,2.0,95.7,0,0.0,0.0,0.0
2022-07-23,50,0,3.0,80.1,0,0.0,0.0,0.0
2022-07-24,38,0,2.2,86.8,0,0.0,0.0,0.0
2022-07-25,25,0,3.7,95.0,0,0.0,0.0,0.0
2022-07-26,21,0,3.2,81.0,0,0.0,0.0,0.0
2022-07-27,23,0,2.6,76.3,0,0.0,0.0,0.0
2022-07-28,29,0,3.0,70.8,0,0.007403,0.007403,0.001032361198401356
2022-07-29,18,0,2.6,96.5,0,0.0,0.0,0.0
2022-07-30,27,0,1.2,97.0,0,0.0,0.0,0.0
2022-07-31,20,0,1.2,81.2,0,0.0,0.0,0.0
2022-08-01,23,0,2.2,86.5,0,0.0,0.0,0.0
2022-08-02,17,0,1.5,96.6,0,0.0,0.0,0.0
2022-08-03,27,0,1.2,88.2,0,0.0,0.0,0.0
2022-08-04,20,0,2.5,89.1,0,0.0,0.0,0.0
2022-08-05,22,0,1.5,93.5,0,0.0,0.0,0.0
2022-08-06,31,0,2.1,93.2,0,0.0,0.0,0.0
2022-08-07,28,0,2.5,85.5,0,0.0,0.0,0.0
2022-08-08,26,0,2.7,92.6,0,0.0,0.0,0.0
2022-08-09,13,0,2.5,96.7,0,0.0,0.0,0.0
2022-08-10,13,0,2.3,91.0,0,0.0,0.0,0.0
2022-08-11,11,0,2.2,92.0,0,0.0,0.0,0.0
2022-08-12,17,0,1.3,91.5,0,0.0,0.0,0.0
2022-08-13,20,0,2.2,90.0,0,0.0,0.0,0.0
2022-08-14,11,0,1.6,89.3,0,0.0,0.0,0.0
2022-08-15,19,0,1.2,83.0,0,0.0,0.0,0.0
2022-08-16,19,0,1.7,79.7,0,0.0,0.0,0.0
2022-08-17,16,0,2.2,96.3,0,0.0,0.0,0.0
2022-08-18,18,0,2.5,86.2,0,0.0,0.0,0.0
2022-08-19,20,0,2.3,79.5,0,0.0,0.0,0.0
2022-08-20,24,0,1.0,74.1,0,0.002042,0.002042,0.00034665193101684295
2022-08-21,44,0,1.0,83.5,0,0.0,0.0,0.0
2022-08-22,24,0,2.0,90.5,0,0.0,0.0,0.0
2022-08-23,19,0,2.0,95.1,0,0.0,0.0,0.0
2022-08-24,14,0,1.0,94.3,0,0.0,0.0,0.0
2022-08-25,22,0,0.7,92.5,0,0.0,0.0,0.0
2022-08-26,33,0,1.3,91.5,0,0.0,0.0,0.0
2022-08-27,20,0,1.0,87.7,0,0.0,0.0,0.0
2022-08-28,17,0,1.8,84.5,0,0.0,0.0,0.0
2022-08-29,23,0,1.0,84.0,0,0.0,0.0,0.0
2022-08-30,27,0,1.2,90.5,0,0.0,0.0,0.0
2022-08-31,29,0,3.3,92.0,0,0.0,0.0,0.0
2022-09-01,19,0,1.3,83.3,0,0.0,0.0,0.0
2022-09-02,14,0,1.6,73.8,0,0.001906,0.001906,0.00032698779295055926
2022-09-03,14,0,1.5,69.3,0,0.001787,0.003693,0.000572695386468665
2022-09-04,16,0,0.6,83.5,0,0.0,0.0,0.0
2022-09-05,18,0,2.0,85.0,0,0.0,0.0,0.0
2022-09-06,13,0,2.0,79.5,0,0.0,0.0,0.0
2022-09-07,15,0,1.5,81.3,0,0.0,0.0,0.0
2022-09-08,18,0,1.0,83.8,0,0.0,0.0,0.0
2022-09-09,18,0,1.2,82.5,0,0.0,0.0,0.0
2022-09-10,16,0,2.0,67.4,0,0.002723,0.002723,0.0004423837757171277
2022-09-11,20,0,3.0,71.5,0,0.005105,0.007828,0.0010823624636267274
2022-09-12,38,0,1.0,76.0,0,0.0,0.0,0.0
2022-09-13,50,0,1.0,88.0,0,0.0,0.0,0.0
2022-09-14,18,0,2.0,90.0,0,0.0,0.0,0.0
2022-09-15,18,0,2.0,63.0,0,0.003063,0.003063,0.0004887599743050148
2022-09-16,11,0,2.4,60.0,0,0.002246,0.005309,0.0007789080836951051
2022-09-17,8,0,1.6,59.0,0,0.001089,0.006398,0.0009123132716245416
2022-09-18,15,0,1.0,81.9,0,0.0,0.0,0.0
2022-09-19,13,0,1.2,80.0,0,0.0,0.0,0.0
2022-09-20,13,0,3.0,95.0,0,0.0,0.0,0.0
2022-09-21,21,0,1.0,97.0,0,0.0,0.0,0.0
2022-09-22,17,0,2.3,93.9,0,0.0,0.0,0.0
2022-09-23,8,0,2.5,95.4,0,0.0,0.0,0.0
2022-09-24,13,0,7.0,76.0,0,0.0,0.0,0.0
2022-09-25,20,0,2.0,79.8,0,0.0,0.0,0.0
2022-09-26,33,0,3.0,95.0,0,0.0,0.0,0.0
2022-09-27,14,0,1.0,95.8,0,0.0,0.0,0.0
2022-09-28,17,0,1.0,98.0,0,0.0,0.0,0.0
2022-09-29,20,0,1.6,91.3,0,0.0,0.0,0.0
2022-09-30,21,0,1.3,88.6,0,0.0,0.0,0.0
2022-10-01,17,0,0.6,84.0,0,0.0,0.0,0.0
2022-10-02,15,0,2.3,72.7,0,0.002936,0.002936,0.00047153398697604
2022-10-03,15,0,1.5,77.8,0,0.0,0.0,0.0
2022-10-04,14,0,1.5,87.5,0,0.0,0.0,0.0
2022-10-05,18,0,1.1,90.0,0,0.0,0.0,0.0
2022-10-06,10,0,2.0,97.0,0,0.0,0.0,0.0
2022-10-07,12,0,2.0,96.8,0,0.0,0.0,0.0
2022-10-08,21,0,1.0,93.0,0,0.0,0.0,0.0
2022-10-09,14,0,1.0,77.0,0,0.0,0.0,0.0
2022-10-10,15,0,1.0,76.0,0,0.0,0.0,0.0
2022-10-11,17,0,1.0,70.6,0,0.001446,0.001446,0.0002587581532981311
2022-10-12,21,0,1.3,83.2,0,0.0,0.0,0.0
2022-10-13,36,0,1.0,90.0,0,0.0,0.0,0.0
2022-10-14,28,0,2.0,90.0,0,0.0,0.0,0.0
2022-10-15,43,0,2.0,92.0,0,0.0,0.0,0.0
2022-10-16,14,0,2.0,92.8,0,0.0,0.0,0.0
2022-10-17,29,0,1.0,92.0,0,0.0,0.0,0.0
2022-10-18,29,0,3.0,91.6,0,0.0,0.0,0.0
2022-10-19,23,0,4.4,95.0,0,0.0,0.0,0.0
2022-10-20,20,0,2.0,86.1,0,0.0,0.0,0.0
2022-10-21,23,0,0.8,83.0,0,0.0,0.0,0.0
2022-10-22,18,0,1.1,88.5,0,0.0,0.0,0.0
2022-10-23,24,0,0.5,88.5,0,0.0,0.0,0.0
2022-10-24,21,0,1.0,89.8,0,0.0,0.0,0.0
2022-10-25,11,0,1.0,94.0,0,0.0,0.0,0.0
2022-10-26,7,0,1.0,95.0,0,0.0,0.0,0.0
2022-10-27,12,0,1.6,94.5,0,0.0,0.0,0.0
2022-10-28,11,0,2.0,74.1,0,0.001872,0.001872,0.00032203876685132373
2022-10-29,17,0,1.0,84.8,0,0.0,0.0,0.0
2022-10-30,17,0,1.0,78.0,0,0.0,0.0,0.0
2022-10-31,20,0,2.0,86.2,0,0.0,0.0,0.0
2022-11-01,18,0,1.0,93.0,0,0.0,0.0,0.0
2022-11-02,23,0,1.6,58.5,0,0.003131,0.003131,0.0004979383058755954
2022-11-03,13,0,1.6,56.0,0,0.00177,0.004901,0.0007278824217044262
2022-11-04,27,0,1.3,79.4,0,0.0,0.0,0.0
2022-11-05,27,0,1.8,86.8,0,0.0,0.0,0.0
2022-11-06,26,0,2.0,88.6,0,0.0,0.0,0.0
2022-11-07,32,0,3.5,91.0,0,0.0,0.0,0.0
2022-11-08,12,0,4.3,55.0,0,0.004391,0.004391,0.0006631733870599101
2022-11-09,13,0,5.0,58.0,0,0.005531,0.009922,0.001323123397098323
2022-11-10,21,0,3.0,69.5,0,0.005361,0.015283000000000001,0.001907919149962108
2022-11-11,39,0,3.0,75.0,0,0.0,0.0,0.0
2022-11-12,23,0,6.7,92.5,0,0.0,0.0,0.0
2022-11-13,8,0,3.0,90.0,0,0.0,0.0,0.0
2022-11-14,9,0,8.0,83.0,0,0.0,0.0,0.0
2022-11-15,9,0,5.0,75.0,0,0.0,0.0,0.0
2022-11-16,13,0,7.0,87.0,0,0.0,0.0,0.0
2022-11-17,13,0,6.5,78.0,0,0.0,0.0,0.0
2022-11-18,13,0,4.4,74.0,0,0.004867,0.004867,0.0007236016484236428
2022-11-19,18,0,1.0,87.5,0,0.0,0.0,0.0
2022-11-20,20,0,6.0,85.5,0,0.0,0.0,0.0
2022-11-21,16,0,8.0,74.6,0,0.010891,0.010891,0.0014318220656711616
2022-11-22,20,0,8.0,77.0,0,0.0,0.0,0.0
2022-11-23,15,0,8.0,66.0,0,0.01021,0.01021,0.0013555928059556968
2022-11-24,12,0,6.0,60.0,0,0.006126,0.016336,0.0020187287260095554
2022-11-25,18,0,5.0,84.0,0,0.0,0.0,0.0
2022-11-26,10,0,14.5,90.0,0,0.0,0.0,0.0
2022-11-27,12,0,3.0,85.0,0,0.0,0.0,0.0
2022-11-28,11,0,7.0,93.5,0,0.0,0.0,0.0
2022-11-29,10,0,6.5,79.0,0,0.0,0.0,0.0
2022-11-30,23,0,9.0,89.0,0,0.0,0.0,0.0
2022-12-01,15,0,10.0,82.0,0,0.0,0.0,0.0
2022-12-02,11,0,5.0,68.5,0,0.00468,0.00468,0.000699974715264336
2022-12-03,25,0,9.0,91.0,0,0.0,0.0,0.0
2022-12-04,14,0,6.0,76.5,0,0.0,0.0,0.0
2022-12-05,11,0,2.0,84.5,0,0.0,0.0,0.0
2022-12-06,18,0,4.5,92.0,0,0.0,0.0,0.0
2022-12-07,8,0,7.0,98.0,0,0.0,0.0,0.0
2022-12-08,31,0,8.3,99.0,0,0.0,0.0,0.0
2022-12-09,4,0,10.0,96.0,0,0.0,0.0,0.0
2022-12-10,8,0,11.0,89.3,0,0.0,0.0,0.0
2022-12-11,17,0,5.6,80.0,0,0.0,0.0,0.0
2022-12-12,15,0,5.5,81.0,0,0.0,0.0,0.0
2022-12-13,13,0,14.0,82.0,0,0.0,0.0,0.0
2022-12-14,11,0,5.0,75.0,0,0.0,0.0,0.0
2022-12-15,19,0,4.6,88.6,0,0.0,0.0,0.0
2022-12-16,19,0,2.1,90.0,0,0.0,0.0,0.0
2022-12-17,5,0,4.5,94.0,0,0.0,0.0,0.0
2022-12-18,13,0,2.0,94.0,0,0.0,0.0,0.0
2022-12-19,4,0,1.3,95.0,0,0.0,0.0,0.0
2022-12-20,10,0,3.3,93.0,0,0.0,0.0,0.0
2022-12-21,21,0,1.0,89.6,0,0.0,0.0,0.0
2022-12-22,22,0,1.5,86.2,0,0.0,0.0,0.0
2022-12-23,25,0,6.2,94.0,0,0.0,0.0,0.0
2022-12-24,30,0,5.6,74.0,0,0.014295,0.014295,0.0018028845742308394
2022-12-25,19,0,4.1,76.2,0,0.0,0.0,0.0
2022-12-26,16,0,1.2,67.8,0,0.001634,0.001634,0.00028699339208583774
2022-12-27,16,0,1.2,74.0,0,0.001634,0.003268,0.0005163384127508184
2022-12-28,13,0,0.9,68.7,0,0.000996,0.004264,0.000646885207697332
2022-12-29,21,0,0.4,82.5,0,0.0,0.0,0.0
2022-12-30,44,0,1.0,93.8,0,0.0,0.0,0.0
2022-12-31,48,0,0.9,95.8,0,0.0,0.0,0.0
